6,Capteur,692m,rouge,d89
5,Moteur,41W,d49
3,Capteur,264m,noir,d11
8,Moteur,137W,d37
6,Moteur,156W,d16
4,Moteur,78W,d97
8,Batterie,50%,d60
5,Moteur,74W,d25
6,Batterie,91%,d84
6,Capteur,875m,jaune,d77
8,Batterie,45%,d78
7,Capteur,431m,jaune,d64
5,Moteur,84W,d51
3,Capteur,631m,rouge,d99
3,Batterie,91%,d18
4,Capteur,374m,rouge,d16
3,Batterie,13%,d2
5,Moteur,261W,d68
3,Capteur,539m,noir,d31
7,Moteur,292W,d34
7,Moteur,80W,d13
4,Batterie,31%,d78
6,Moteur,174W,d88
6,Batterie,76%,d56
5,Moteur,112W,d69
6,Capteur,99m,noir,d79
6,Batterie,18%,d9
6,Moteur,200W,d84
4,Capteur,894m,noir,d71
5,Batterie,9%,d97
